Diameter,Intensity,Y,Species
6,0.0730598,0,BF
5,0.0730598,0,BF
9,0.0730598,0,BF
11,0.0730598,0,BS
6,0.0748013,0,BA
6,0.0748013,0,BA
6,0.0748013,0,BA
34,0.0760489,0,A
14,0.0773118,0,BF
13,0.0777039,1,JP
11,0.0777039,1,JP
9,0.0777039,1,JP
13,0.0777039,1,JP
13,0.0777039,1,JP
12,0.0777039,1,JP
15,0.0777039,1,JP
12,0.0777039,0,JP
11,0.0777039,1,JP
17,0.0777039,1,JP
12,0.0777039,1,JP
11,0.0777039,1,JP
34,0.0780471,0,A
51,0.0780471,0,A
28,0.0780471,0,PB
38,0.0792837,0,A
13,0.0792837,0,RM
10,0.0792837,0,RM
12,0.0792837,0,RM
10,0.0792837,0,RM
11,0.0805133,0,BF
25,0.0805133,0,PB
6,0.0805133,0,RM
9,0.0813203,0,A
39,0.0813203,0,A
40,0.0813203,0,A
36,0.0813203,0,A
7,0.0818451,0,BF
6,0.0818451,0,BF
20,0.0818451,0,BS
13,0.0818451,0,C
7,0.0818451,0,C
6,0.0818451,0,C
8,0.0818451,0,C
5,0.0846147,0,BF
6,0.0846147,0,BF
5,0.0846147,0,BF
5,0.0846147,0,BF
6,0.0846147,0,BS
12,0.0846147,0,BS
6,0.0846147,0,PB
8,0.084997,0,BA
6,0.084997,0,BA
7,0.084997,0,BA
6,0.084997,0,BA
7,0.084997,0,BA
9,0.084997,0,BA
10,0.084997,0,BF
12,0.084997,0,BS
5,0.084997,0,PB
42,0.0868586,1,A
9,0.0868586,0,RM
6,0.0868586,1,RM
9,0.0868586,1,RM
7,0.0868586,0,RM
25,0.0868586,1,RM
5,0.0879988,0,BF
6,0.0879988,0,BF
6,0.0879988,0,BF
5,0.0879988,0,BF
5,0.0879988,0,BF
8,0.0879988,0,BF
5,0.0879988,0,PB
7,0.0879988,0,PB
5,0.0879988,0,PB
21,0.0886621,0,A
22,0.0886621,0,A
31,0.0886621,0,A
28,0.0886621,0,A
28,0.0886621,0,A
28,0.0886621,0,A
13,0.0886621,0,BS
16,0.0886621,0,BS
16,0.089435,0,BF
10,0.089435,0,BF
12,0.089435,1,BF
14,0.089435,0,PB
5,0.0894688,0,BF
7,0.0894688,0,BS
6,0.0894688,0,BS
9,0.0894688,0,BS
8,0.0894688,0,BS
12,0.0894688,0,BS
13,0.0894688,0,BS
7,0.0894688,0,PB
7,0.0899905,0,BS
8,0.0899905,0,BS
6,0.0899905,0,BS
6,0.0899905,0,BS
10,0.0899905,0,BS
10,0.0899905,0,BS
11,0.0899905,0,BS
11,0.0904253,0,BS
9,0.0914889,0,BF
12,0.0914889,0,BF
5,0.0914889,0,BF
10,0.0914889,0,BF
7,0.0914889,0,BF
17,0.0914889,0,BS
5,0.0943459,0,BF
7,0.0943459,0,BF
5,0.0943459,0,BF
33,0.0943459,0,PB
10,0.095173,0,BA
12,0.095173,1,BA
14,0.0958845,0,BF
15,0.0958845,0,BS
15,0.0958845,0,BS
21,0.0958845,0,BS
13,0.0958845,0,BS
10,0.0958845,0,BS
12,0.0958845,0,BS
25,0.0958845,1,JP
23,0.0958845,0,JP
17,0.0965822,0,A
8,0.0965822,0,A
5,0.0965822,0,BF
16,0.0965822,0,BS
7,0.0965822,0,BS
8,0.0974461,0,BS
15,0.0974461,0,PB
11,0.0974461,0,PB
14,0.0974461,0,PB
9,0.0974461,0,PB
13,0.0990518,0,PB
15,0.0990518,0,PB
14,0.0990518,0,PB
16,0.0990518,0,PB
10,0.0990518,0,PB
11,0.0990518,0,PB
12,0.0990518,0,PB
10,0.0990518,0,PB
17,0.0990518,0,PB
18,0.0992233,0,BS
16,0.0992233,0,BS
15,0.0992233,0,BS
15,0.0992233,0,BS
17,0.0992233,0,BS
15,0.0992233,0,BS
16,0.0992233,0,BS
17,0.0992233,0,BS
8,0.0992233,0,BS
13,0.0992233,0,BS
12,0.0994145,0,A
12,0.0994145,0,A
12,0.0994145,1,A
17,0.0994145,0,BF
5,0.0994145,0,PB
7,0.0994145,0,PB
9,0.0994145,0,PB
7,0.0994145,0,PB
8,0.0994145,0,PB
5,0.0994145,0,PB
5,0.0994145,0,PB
6,0.0994145,0,PB
11,0.0994145,0,PB
11,0.0994145,0,PB
5,0.0995897,0,BF
11,0.0995897,0,BF
7,0.0995897,0,BS
5,0.0995897,0,BS
5,0.0995897,0,BS
9,0.0995897,0,BS
19,0.0995897,0,BS
18,0.0995897,0,PB
11,0.0998312,0,BA
14,0.0998312,0,BA
6,0.0998312,0,BF
7,0.0998312,0,BF
7,0.0998312,0,BF
7,0.0998312,0,BS
16,0.0998312,0,BS
7,0.0998312,0,BS
9,0.0998312,0,BS
9,0.0998312,0,BS
14,0.0998312,0,BS
11,0.0998312,0,BS
7,0.0998312,0,PB
17,0.100452,0,C
46,0.100452,0,C
10,0.101679,0,BS
14,0.101679,0,BS
17,0.101679,0,BS
16,0.101679,0,BS
18,0.101679,0,BS
15,0.101679,0,BS
8,0.101679,0,BS
7,0.101679,1,BS
7,0.101679,0,BS
13,0.101679,0,C
9,0.101679,0,C
10,0.101679,0,C
22,0.10254,0,A
21,0.10254,1,A
23,0.10254,0,A
26,0.10254,0,A
25,0.10254,0,A
17,0.10254,0,A
21,0.10254,0,A
13,0.10254,1,BF
15,0.103689,1,A
25,0.103689,0,BF
7,0.105993,0,BF
8,0.105993,0,BF
9,0.105993,0,RP
14,0.107644,0,BF
20,0.107644,0,BS
51,0.107644,0,BS
19,0.107769,0,BF
17,0.107769,0,BF
5.5,0.107769,0,BS
29,0.107769,0,PB
46,0.109636,0,C
14,0.114878,0,BF
13,0.114878,1,BF
6,0.114878,0,BF
16,0.114878,0,BS
14,0.114878,0,BS
6,0.114878,0,PB
6,0.115634,0,BF
6,0.115634,0,BF
23,0.115634,0,BS
8,0.115634,0,PB
17,0.115776,0,BS
8,0.118361,0,BF
6,0.118361,0,RM
8,0.118887,0,BS
15,0.118887,1,BS
13,0.118887,0,PB
7,0.118887,0,PB
14,0.118887,0,PB
13,0.118887,0,PB
15,0.118887,0,PB
12,0.118887,0,PB
8,0.118887,0,PB
12,0.119263,0,BS
10,0.119263,0,PB
13,0.119263,0,PB
12,0.119263,0,PB
13,0.119263,0,PB
22,0.120054,1,BF
15,0.120054,1,BS
11.5,0.120054,1,BS
14,0.120054,1,BS
24,0.120054,1,JP
22,0.120054,1,JP
28,0.120054,1,JP
11,0.120054,1,PB
15,0.120054,1,RM
15,0.120149,0,BS
7,0.120149,0,BS
14,0.120149,0,BS
16,0.120149,0,BS
14,0.120149,0,BS
13,0.120149,0,BS
13,0.120149,0,BS
10,0.120149,0,PB
10,0.120149,0,PB
6,0.120534,0,BF
9,0.120534,0,BF
12,0.120534,0,BS
5,0.120534,0,PB
10,0.120534,0,PB
12,0.120534,0,PB
11,0.120534,0,PB
10,0.120534,0,PB
11,0.120629,0,BF
14,0.120629,0,BS
14,0.120629,0,BS
15,0.120629,0,BS
15,0.120629,0,BS
7,0.120629,0,BS
12,0.120629,0,BS
20,0.120629,0,JP
15,0.120629,0,JP
16,0.120629,0,JP
30,0.120629,0,JP
18,0.120629,0,JP
25,0.120629,0,JP
13,0.120629,0,JP
20,0.120629,0,JP
20,0.120629,0,JP
38,0.128254,0,C
23,0.128254,0,C
28,0.128254,0,C
23,0.128254,0,C
24,0.128254,0,C
23,0.128254,0,C
42.5,0.128254,0,C
30,0.128254,0,PB
11,0.128353,0,BS
10,0.128353,0,BS
13,0.128353,0,BS
13,0.128353,0,BS
25,0.128353,0,JP
21,0.128353,0,JP
34,0.128353,0,JP
6,0.128477,0,BF
15,0.128477,0,BS
13,0.128477,0,BS
17,0.128477,0,BS
12,0.128477,0,BS
7,0.128477,0,RM
7,0.12938,0,BF
5,0.12938,0,BF
7,0.12938,0,BF
21,0.130199,1,JP
28,0.130199,1,JP
27,0.130199,0,JP
36,0.130199,1,JP
14,0.130565,0,BS
6,0.130565,0,PB
13,0.131108,0,A
17,0.131108,0,A
27,0.131108,0,JP
7,0.13163,0,BF
15,0.13163,0,BS
14,0.13163,1,BS
21,0.13163,0,BS
32,0.13163,0,JP
11,0.131718,0,BF
11,0.132051,0,BF
21,0.132051,0,BS
21,0.132051,0,BS
9,0.132051,0,BS
7,0.132051,0,BS
13,0.132093,0,BF
17,0.132093,0,BS
28,0.132093,0,BS
14,0.132093,0,PB
14,0.132093,0,PB
15,0.132093,0,PB
12,0.132093,0,PB
10,0.132585,0,BF
10,0.132585,0,BF
25,0.132585,1,BS
19,0.132585,0,BS
26,0.132585,1,JP
7,0.135751,1,BF
9,0.135751,1,BF
14,0.135751,0,BS
14,0.135751,1,JP
22,0.135751,1,JP
19,0.135751,1,JP
15,0.135751,1,JP
21,0.137206,0,PB
33,0.137242,0,RP
5,0.138033,0,BF
5,0.138033,0,BF
5,0.138033,0,BF
5,0.138033,0,BS
5,0.138033,0,BS
6,0.138033,0,BS
56,0.14235,0,A
30,0.14235,0,JP
18,0.14235,0,PB
11,0.14235,0,PB
6,0.144217,0,BF
20,0.144217,0,BS
17,0.144217,0,BS
9,0.144217,0,BS
34,0.144217,0,JP
6,0.144217,0,PB
17,0.144485,0,A
9,0.144485,1,BS
23,0.144485,1,JP
14,0.144485,1,JP
36,0.145072,1,RP
32,0.145072,1,RP
30.5,0.145072,1,RP
34.5,0.145072,0,RP
37,0.145072,1,RP
6,0.145446,0,BF
9,0.145446,0,BF
14,0.145446,0,BS
6,0.145446,0,BS
7,0.145446,0,BS
6,0.145446,0,BS
12,0.146615,1,BF
8,0.146615,1,BF
9,0.146615,0,BS
16,0.146615,0,BS
13,0.146615,0,BS
12,0.146615,1,BS
14,0.146615,0,C
9,0.146615,0,C
20,0.147894,0,BS
14,0.147894,0,BS
18,0.147894,0,JP
14,0.147894,0,PB
14,0.148025,0,BF
11,0.148025,0,BF
13,0.148025,0,BF
9,0.148025,0,BF
26,0.148025,0,BS
17,0.148025,0,C
10,0.148025,0,RM
6,0.149973,0,BF
5,0.149973,0,BF
27,0.149973,1,BS
22,0.150451,0,C
25,0.150451,0,RP
35,0.150451,0,RP
40,0.150451,0,RP
9,0.152714,0,BF
6,0.152714,0,BF
22,0.152714,0,C
19,0.152714,0,C
26,0.152714,0,C
21,0.152714,0,C
17,0.152714,0,C
5,0.152714,0,PB
5,0.152714,0,PB
24,0.153093,1,A
25,0.153093,0,A
29,0.153093,1,A
22,0.153093,1,A
27,0.153093,0,A
22,0.153093,1,A
19,0.153093,1,A
13,0.153093,1,JP
13,0.157774,1,BS
12,0.157774,1,JP
18,0.157774,1,JP
14,0.157774,1,JP
14,0.157774,1,JP
23,0.157774,1,JP
14,0.157774,1,JP
16,0.157774,1,JP
11,0.157774,1,JP
9,0.157774,1,JP
14,0.157774,1,JP
10,0.157774,0,PB
9,0.157774,0,PB
5,0.163796,0,BF
14,0.163796,0,BF
5,0.163796,0,BF
10,0.164513,0,BF
10,0.164513,0,BF
11,0.164513,0,PB
18,0.16455,0,C
17,0.16455,0,C
17,0.16455,0,C
12,0.16455,0,C
14,0.16455,0,C
25,0.16455,0,C
12,0.16455,0,C
10,0.16455,0,C
19,0.16455,0,C
14,0.16455,0,C
16,0.166452,0,BS
8,0.166452,0,BS
11,0.166452,0,BS
19,0.166452,0,BS
13,0.166452,0,BS
11,0.166452,0,PB
16,0.166936,0,BS
18,0.166936,1,BS
13,0.166936,0,BS
13,0.166936,0,BS
23,0.166936,0,JP
18,0.166936,0,JP
23,0.166936,0,JP
21,0.170198,0,PB
13,0.170198,0,PB
18,0.170198,0,PB
14,0.170198,0,RM
12,0.170198,0,RM
15,0.170198,0,RM
8,0.170198,0,RM
12,0.170198,0,RM
9,0.170198,0,RM
28,0.170545,0,A
14,0.170545,0,BS
9,0.173236,0,A
11.5,0.173236,0,BS
14.5,0.173236,0,BS
11,0.173236,0,PB
12,0.173236,0,PB
14,0.173236,0,PB
16,0.173383,0,BF
7,0.173383,0,BF
10,0.173383,0,BF
30,0.173383,0,RM
22,0.173782,0,A
31,0.173782,1,BS
10,0.173782,0,PB
8,0.174111,1,BF
8,0.174111,1,BF
7,0.174111,1,BF
10,0.174111,1,BF
6,0.174111,0,BF
6,0.174869,0,BA
9,0.174869,0,BA
5,0.174869,0,BA
7,0.174869,0,BA
8,0.174869,0,BA
9,0.174869,0,BF
8,0.174869,0,BS
6,0.174869,0,BS
5,0.174869,0,C
24,0.174869,0,C
27,0.174869,0,C
12,0.175609,0,BS
10,0.175609,0,C
14,0.175609,0,C
6,0.175609,0,C
13,0.175609,0,C
16,0.175609,0,C
6,0.175609,0,C
7,0.175609,0,C
20,0.176509,0,A
21,0.176509,0,A
20,0.176509,0,A
23,0.176509,0,A
22,0.176509,0,A
23,0.176509,0,A
21,0.176509,0,A
12,0.176509,1,BS
21,0.176509,0,BS
14,0.176509,0,BS
11,0.176509,0,PB
10,0.176509,0,PB
12,0.176509,0,PB
7,0.176954,0,BF
14,0.176954,1,BS
13,0.176954,0,BS
12,0.176954,0,BS
6,0.176954,0,BS
9,0.176954,0,BS
12,0.176954,0,BS
8,0.176954,1,BS
23,0.17722,0,A
37,0.17722,0,A
33,0.17722,0,BS
24,0.17722,0,BS
19,0.17722,0,PB
11,0.17722,0,RM
8,0.17722,0,RM
5,0.18105,1,BF
5,0.18105,0,BF
7,0.18105,1,BF
5,0.18105,0,BF
13,0.18105,1,BS
13,0.18105,1,BS
6,0.182465,0,BF
5,0.182465,0,BF
5,0.182465,0,BF
5,0.182465,0,BF
7,0.182465,0,BF
5,0.182702,0,C
12,0.182702,0,C
11,0.182702,0,C
10,0.182702,0,C
15,0.182702,0,C
5,0.182702,0,C
10,0.182702,0,C
6,0.183632,0,BF
6,0.183632,0,BF
6,0.183632,0,BF
6,0.183632,0,BS
23,0.183632,0,BS
13,0.183632,0,PB
17,0.183632,0,PB
7,0.184542,0,BF
6,0.184542,0,BF
6,0.184542,0,PB
9,0.184542,0,PB
13,0.184542,0,PB
27,0.184542,0,PB
18,0.188526,1,BS
24,0.188526,1,BS
14,0.188526,0,C
8,0.188526,0,C
8,0.188526,0,C
10,0.188526,0,C
6,0.188526,0,C
5,0.191521,0,BF
15,0.191521,0,BS
13,0.191521,0,BS
18,0.191521,0,BS
21,0.191521,0,JP
27,0.191521,1,JP
6,0.191521,0,PB
8,0.191521,1,PB
12,0.192293,0,BF
25,0.192293,0,PB
39,0.192293,0,PB
7,0.192509,0,BF
10,0.192509,0,BS
15,0.192509,0,BS
19,0.192509,0,BS
18,0.192509,1,BS
10,0.192509,0,BS
44,0.192509,1,JP
14,0.195046,0,C
25,0.195046,0,C
22,0.195046,0,C
17,0.195046,0,C
7,0.195646,0,BS
12,0.195646,1,BS
27,0.195646,0,JP
25,0.195646,1,JP
14,0.195646,0,JP
25,0.195646,0,JP
14,0.195646,1,JP
10,0.195646,0,PB
7,0.195646,0,PB
12,0.195646,0,PB
14,0.197618,0,BF
8,0.197618,0,BF
10,0.197618,0,BF
16,0.197618,0,BF
11,0.197618,0,BF
15,0.197618,0,BS
15,0.197618,0,PB
14,0.198293,1,BF
14,0.198293,0,BF
10,0.198293,1,BF
40,0.198293,0,BS
10,0.199172,0,BF
14,0.199172,0,BS
21,0.199172,0,RM
8,0.199172,0,RM
21,0.199172,0,RM
25,0.199172,0,RM
18,0.19934,1,C
38,0.19934,1,JP
36,0.19934,1,JP
28,0.19934,1,JP
36,0.19934,1,JP
9,0.201838,0,BS
8,0.201838,0,BS
22,0.201838,0,BS
6,0.201838,0,BS
7,0.201838,0,PB
15,0.201838,0,PB
21,0.20332,1,BF
15,0.20332,0,PB
17,0.20332,0,PB
23,0.20332,0,RM
14,0.20332,0,RM
8,0.204132,0,BF
10,0.206243,0,BF
30,0.206243,0,C
13,0.206243,1,C
9,0.206243,0,C
10,0.206243,0,PB
6,0.207769,0,BF
6,0.207769,0,BF
9,0.208116,0,BF
9,0.208116,0,BF
26,0.208116,0,C
21,0.208116,0,C
30,0.208116,0,C
19,0.208116,0,C
13,0.208116,0,C
28,0.208116,0,C
22,0.208116,0,C
17,0.208116,0,C
6,0.210034,1,BA
7,0.210034,1,BF
7,0.210034,1,BF
5,0.210034,0,PB
31,0.210467,1,C
15,0.210467,0,C
23,0.210467,0,C
15,0.210467,0,C
9,0.210467,0,PB
8,0.211429,0,BS
13,0.211429,0,BS
9,0.211429,0,BS
8,0.211429,0,BS
12,0.211429,0,BS
16,0.211429,1,BS
15,0.211429,0,BS
15,0.211429,1,BS
11,0.211429,0,BS
19,0.211429,0,BS
10,0.211429,0,BS
17,0.211429,1,JP
31,0.212418,1,JP
27,0.212418,1,JP
25,0.212801,0,BS
12,0.212801,0,BS
8,0.212801,0,PB
11,0.212801,0,PB
13,0.213854,1,BS
8,0.213854,0,BS
30,0.213955,1,JP
26,0.213955,1,JP
17,0.213955,0,PB
9,0.214047,0,BF
8,0.214047,0,BF
7,0.214047,0,BF
16,0.214047,0,JP
10,0.214446,0,BS
11,0.214446,0,BS
9,0.214446,1,BS
17,0.214446,1,BS
9,0.214446,1,BS
10,0.214446,1,JP
12,0.214446,0,JP
20,0.214446,0,JP
7,0.214931,0,BF
7,0.214931,0,BF
5,0.214931,0,C
8,0.214931,0,C
9,0.214931,0,C
6,0.214931,0,C
5,0.215521,0,BF
7,0.215521,0,BF
5,0.215521,1,BF
5,0.215521,0,BF
6,0.215521,0,BF
5,0.215521,0,BF
11,0.215521,0,BF
5,0.215521,0,BF
5,0.215521,0,BS
6,0.215521,0,BS
7,0.215975,0,BF
8,0.215975,0,BF
10,0.215975,0,BF
19,0.215975,1,BS
17,0.215975,0,C
18,0.215975,0,C
7,0.215975,0,C
5,0.215975,0,C
5,0.216023,0,BF
11,0.216023,0,BS
18,0.216023,0,BS
15,0.216023,0,C
27,0.21856,1,A
32,0.21856,1,A
16,0.21856,0,BS
17,0.21856,1,BS
15,0.21856,0,JP
20,0.21856,1,JP
15,0.218936,0,BS
18,0.218936,1,BS
14,0.218936,0,BS
9,0.218936,0,BS
21,0.218936,0,PB
7,0.219577,1,BF
5,0.219577,1,BF
6,0.219577,1,BF
8,0.219577,0,BF
5,0.219577,0,BF
7,0.219577,0,BF
11,0.219577,1,BF
11,0.219577,1,BF
10,0.219577,1,BF
11,0.219577,1,BF
8,0.219577,0,BF
7,0.219577,0,PB
6,0.219577,0,PB
32,0.219823,1,A
12,0.219823,1,BS
17,0.219823,0,C
20,0.219823,1,JP
25,0.219823,1,JP
22,0.219823,1,JP
24,0.219823,1,JP
22,0.219823,1,JP
29,0.220692,1,A
30,0.220692,1,A
30,0.220692,1,A
12,0.220692,0,A
12,0.220692,1,BS
47,0.220769,1,A
30,0.220787,0,A
15,0.220787,1,BF
6,0.220787,0,BS
14,0.220787,0,PB
16,0.220787,0,PB
14,0.223505,0,PB
10,0.223505,0,RM
14,0.223505,0,RM
17,0.223505,1,RM
8,0.224639,0,BF
6,0.224639,1,BF
30,0.224639,1,BS
6,0.224639,0,PB
7,0.224639,0,PB
5,0.224639,0,PB
5,0.224639,0,PB
8,0.224639,0,PB
10,0.224701,0,A
8,0.224701,0,A
6,0.224701,0,BF
6,0.224701,0,BF
7,0.224701,0,BF
26,0.224701,1,C
21,0.224701,1,C
10,0.224701,0,PB
6,0.224701,1,PB
6,0.224701,0,PB
6,0.224701,0,PB
34,0.225786,1,A
19,0.225786,0,BS
22,0.225786,0,BS
12,0.22813,1,A
6,0.22813,0,BF
5,0.22813,0,BF
18,0.229101,1,JP
19,0.229101,1,JP
19,0.229101,0,JP
19,0.229101,0,JP
11,0.229207,1,BS
18,0.229207,0,JP
16,0.229207,1,JP
18,0.229207,1,JP
18,0.229207,1,JP
12,0.229207,1,JP
9,0.230694,0,BF
12,0.230694,1,BF
14,0.230694,0,PB
7,0.230694,0,PB
6,0.230694,1,PB
34,0.232239,1,JP
17,0.233663,0,BS
12,0.233663,0,BS
12,0.233663,0,C
17,0.233663,0,PB
11,0.233663,0,PB
7,0.234421,0,BF
5,0.234421,0,PB
17,0.235015,1,BS
11,0.235015,0,PB
8,0.235669,0,BS
10,0.235669,0,BS
12,0.235669,0,BS
7,0.235669,0,BS
17,0.235669,0,JP
5,0.235669,0,PB
6,0.235722,0,BF
16,0.235722,0,BF
9,0.235989,0,A
6,0.235989,0,BF
6,0.235989,0,BF
5,0.235989,0,BS
14,0.235989,0,BS
12,0.235989,0,BS
10,0.235989,1,BS
21,0.236168,0,BS
13,0.236168,0,C
12,0.236168,0,C
24,0.236168,0,C
11,0.236168,0,C
26,0.236168,0,PB
14,0.236964,0,A
14,0.236964,1,PB
15,0.236964,1,PB
24,0.237264,0,BS
28,0.237264,0,RM
17,0.237264,0,RM
16,0.237342,1,BF
8,0.237342,0,BF
11,0.237342,0,C
7,0.237342,0,C
7,0.237342,1,C
6,0.237342,0,C
7,0.237342,0,C
5,0.237342,0,C
9,0.237342,0,C
17,0.239111,0,PB
32,0.239111,0,PB
21,0.239111,1,PB
25,0.239669,1,RP
22,0.239712,1,BS
30,0.239712,1,JP
32,0.239712,1,JP
19,0.239752,0,BS
25,0.239752,0,C
27,0.239752,0,C
15,0.239752,0,PB
27,0.239752,0,PB
15,0.243286,1,BS
14,0.243286,0,BS
20,0.243286,1,BS
16,0.243286,1,BS
9,0.243286,0,C
12,0.2439,1,BS
15,0.2439,1,JP
27,0.2439,1,JP
14,0.2439,0,PB
9,0.2439,0,PB
8,0.2439,0,PB
8,0.2439,0,PB
7,0.249347,0,BF
15,0.249347,0,BS
14,0.249347,1,BS
10,0.249347,1,BS
17,0.249347,0,BS
20,0.249347,1,BS
29,0.251911,0,BF
16,0.251911,0,BS
5,0.251911,0,PB
6,0.251911,1,PB
8,0.251911,0,PB
9,0.251911,1,PB
24,0.25329,0,C
18,0.25329,0,C
15,0.25329,0,C
9,0.25329,0,PB
22,0.25329,0,PB
15,0.253428,0,PB
10,0.253428,0,PB
10,0.253428,0,PB
12,0.253428,0,PB
21,0.253428,0,PB
13,0.253428,0,RM
13,0.253428,0,RM
6,0.253849,0,BF
6,0.253849,0,BF
9,0.253849,0,BF
20,0.25545,1,BS
18,0.25545,1,BS
22,0.25545,1,BS
10,0.255518,0,BS
17,0.255518,0,BS
20,0.255518,0,BS
15,0.255518,0,BS
9,0.255518,0,BS
12,0.256476,0,PB
5,0.256476,0,PB
5,0.256476,0,PB
10,0.256476,0,PB
16,0.256476,0,RM
14,0.256476,1,RM
13,0.256476,0,RM
13,0.256476,0,RM
6,0.256476,0,RM
13,0.256476,0,RM
17,0.256476,1,RM
8,0.256767,0,BF
13,0.256767,1,BS
9,0.256767,0,BS
6,0.256767,0,C
15,0.256767,0,PB
6,0.257545,0,C
10,0.257545,0,C
14,0.257545,0,C
13,0.257545,0,C
9,0.257545,0,C
9,0.257545,0,C
9,0.257545,0,C
16,0.257545,0,C
15,0.257545,1,JP
22,0.257545,1,JP
12,0.258777,0,BS
9,0.258777,0,BS
15,0.258777,0,BS
14,0.258777,0,BS
35,0.258777,1,JP
10,0.258777,0,PB
14,0.259414,0,A
10,0.259414,0,A
7,0.259414,0,BF
7,0.259414,0,BF
5,0.259414,0,BF
7,0.259414,0,BF
6,0.259414,0,BF
8,0.259414,0,BF
9,0.259414,0,BF
10,0.259414,0,BF
8,0.259414,0,PB
32,0.260464,1,A
33,0.260464,1,A
15,0.260464,1,BS
